ID	Cluster	Class	Gene
347__tetW__NG_048285.1__12	30	TETRACYCLINE	tetW
347__tetW__NG_048294.1__22	30	TETRACYCLINE	tetW
183__BLR13__NG_047216.1__1	31	BETA-LACTAM	BLR13
236__blaR1__NG_047538.1__2	32	BETA-LACTAM	blaR1
236__blaR1__NG_051774.1__3	32	BETA-LACTAM	blaR1
236__blaR1__NG_047539.1__4	32	BETA-LACTAM	blaR1
236__blaR1__NG_047537.1__5	32	BETA-LACTAM	blaR1
236__blaR1__NG_047536.1__6	32	BETA-LACTAM	blaR1
229__mecR1__NG_051163.1__1	33	BETA-LACTAM	mecR1
347__tetW__NG_048292.1__10	34	TETRACYCLINE	tetW
347__tetW__NG_048293.1__21	34	TETRACYCLINE	tetW
289__tetB46__NG_048318.1__1	35	TETRACYCLINE	tetB46
556__tetA46__NG_048312.1__1	36	TETRACYCLINE	tetA46
602__oleB__NG_048020.1__1	37	MACROLIDE	oleB
159__carA__NG_047561.1__1	38	MACROLIDE	carA
459__srmB__NG_048076.1__1	39	MACROLIDE	srmB
627__tlrC__NG_048321.1__1	40	MACROLIDE	tlrC
723__otrB__NG_048028.1__1	41	TETRACYCLINE	otrB
723__otrB__NG_048029.1__2	41	TETRACYCLINE	otrB
624__mcr-1__NG_050417.1__1	42	COLISTIN	mcr-1
624__mcr-1__NG_051170.1__2	42	COLISTIN	mcr-1
226__mcr-2__NG_051171.1__1	43	COLISTIN	mcr-2
597__tcmA__NG_048121.1__1	44	TETRACENOMYCIN	tcmA
460__vgaB__NG_048558.1__1	45	LINCOSAMIDE/STREPTOGRAMIN	vgaB
338__tetAB_B__NG_048317.1__1	46	TETRACYCLINE	tetB
236__blaR1__NG_047540.1__1	47	BETA-LACTAM	blaR1
68__vgaD__NG_048560.1__1	48	LINCOSAMIDE/STREPTOGRAMIN	vgaD
243__vgaE__NG_048561.1__1	49	LINCOSAMIDE/STREPTOGRAMIN	vgaE
339__vgaA__NG_048553.1__2	50	LINCOSAMIDE/STREPTOGRAMIN	vgaA
294__lin__NG_050599.1__1	51	LINCOSAMIDE	lin
339__vgaA__NG_048552.1__1	52	LINCOSAMIDE/STREPTOGRAMIN	vgaA
339__vgaA__NG_048554.1__3	52	LINCOSAMIDE/STREPTOGRAMIN	vgaA
339__vgaA__NG_048555.1__4	52	LINCOSAMIDE/STREPTOGRAMIN	vgaA
339__vgaA__NG_048556.1__5	52	LINCOSAMIDE/STREPTOGRAMIN	vgaA
339__vgaA__NG_048557.1__6	52	LINCOSAMIDE/STREPTOGRAMIN	vgaA
339__vgaA__NG_047097.1__7	52	LINCOSAMIDE/STREPTOGRAMIN	vgaA
691__vgaC__NG_048559.1__1	53	LINCOSAMIDE/STREPTOGRAMIN	vgaC
710__tetA__NG_051437.1__1	54	TETRACYCLINE	tetA
371__qepA__NG_048052.1__1	55	QUINOLONE	qepA
371__qepA__NG_050461.1__2	55	QUINOLONE	qepA
371__qepA__NG_050459.1__3	55	QUINOLONE	qepA
371__qepA__NG_050460.1__4	55	QUINOLONE	qepA
324__fusH__NG_047906.1__1	56	FUSIDIC	fusH
155__sat1__NG_048068.1__1	57	STREPTOTHRICIN	sat
156__sat2__NG_051935.1__1	57	STREPTOTHRICIN	sat
156__sat2__NG_051934.1__2	57	STREPTOTHRICIN	sat
156__sat2__NG_051940.1__3	57	STREPTOTHRICIN	sat
270__sat2e__NG_051936.1__1	57	STREPTOTHRICIN	sat
270__sat2e__NG_051937.1__2	57	STREPTOTHRICIN	sat
431__pIE728__NG_052372.1__1	57	STREPTOTHRICIN	sat
483__eatA__NG_047762.1__1	58	PLEUROMUTILIN	eatA
719__lsaA__NG_047932.1__1	59	LINCOSAMIDE/STREPTOGRAMIN	lsaA
719__lsaA__NG_047931.1__2	59	LINCOSAMIDE/STREPTOGRAMIN	lsaA
719__lsaA__NG_047930.1__3	59	LINCOSAMIDE/STREPTOGRAMIN	lsaA
606__lsaE__NG_047935.1__1	60	LINCOSAMIDE/STREPTOGRAMIN	lsaE
179__lsaB__NG_047933.1__1	61	LINCOSAMIDE/STREPTOGRAMIN	lsaB
187__lsaC__NG_047934.1__1	62	LINCOSAMIDE/STREPTOGRAMIN	lsaC
328__msrC__NG_048003.1__1	63	MACROLIDE	msrC
328__msrC__NG_048004.1__2	63	MACROLIDE	msrC
693__msrE__NG_048007.1__1	64	MACROLIDE	msrE
11__qacB__NG_048038.1__1	65	QUATERNARY	qacA/B
11__qacB__NG_048039.1__2	65	QUATERNARY	qacA/B
12__qacA__NG_048037.1__1	65	QUATERNARY	qacA/B
53__msrA__NG_048002.1__1	66	MACROLIDE	msrA
53__msrA__NG_048000.1__2	66	MACROLIDE	msrA
53__msrA__NG_048001.1__3	66	MACROLIDE	msrA
53__msrA__NG_047999.1__4	66	MACROLIDE	msrA
465__msrD__NG_048005.1__1	67	MACROLIDE	msrD
465__msrD__NG_048006.1__2	67	MACROLIDE	msrD
413__iri__NG_047911.1__1	68	RIFAMYCIN	iri
619__lmrB__NG_047912.1__1	69	LINCOSAMIDE	lmrB
414__fexA__NG_047857.1__1	70	PHENICOL	fexA
414__fexA__NG_047858.1__2	70	PHENICOL	fexA
414__fexA__NG_047859.1__3	70	PHENICOL	fexA
31__salA__NG_048067.1__1	71	LINCOSAMIDE/STREPTOGRAMIN	salA
28__rox__NG_052045.1__1	72	RIFAMYCIN	rox
434__tetL__NG_048210.1__1	73	TETRACYCLINE	tetL
434__tetL__NG_048208.1__6	73	TETRACYCLINE	tetL
434__tetL__NG_048209.1__7	73	TETRACYCLINE	tetL
434__tetL__NG_048202.1__2	74	TETRACYCLINE	tetL
434__tetL__NG_048204.1__3	74	TETRACYCLINE	tetL
434__tetL__NG_048206.1__4	75	TETRACYCLINE	tetL
434__tetL__NG_048201.1__5	75	TETRACYCLINE	tetL
434__tetL__NG_048205.1__8	75	TETRACYCLINE	tetL
434__tetL__NG_048203.1__9	75	TETRACYCLINE	tetL
434__tetL__NG_048207.1__10	75	TETRACYCLINE	tetL
477__vanS__NG_048453.1__19	76	GLYCOPEPTIDE	vanS
190__tet38__NG_048133.1__1	77	TETRACYCLINE	tet38
190__tet38__NG_048136.1__2	77	TETRACYCLINE	tet38
190__tet38__NG_048135.1__3	77	TETRACYCLINE	tet38
190__tet38__NG_048134.1__4	77	TETRACYCLINE	tet38
477__vanS__NG_048439.1__2	78	GLYCOPEPTIDE	vanS
477__vanS__NG_048429.1__9	78	GLYCOPEPTIDE	vanS
477__vanS__NG_048449.1__13	78	GLYCOPEPTIDE	vanS
477__vanS__NG_048434.1__20	78	GLYCOPEPTIDE	vanS
51__cmlB1__NG_047658.1__1	79	PHENICOL	cmlB1
241__tetAP__NG_048314.1__1	80	TETRACYCLINE	tetAP
241__tetAP__NG_048315.1__2	80	TETRACYCLINE	tetAP
241__tetAP__NG_048316.1__3	80	TETRACYCLINE	tetAP
26__cmlA__NG_052326.1__1	81	PHENICOL	cmlA
26__cmlA__NG_051879.1__2	81	PHENICOL	cmlA
26__cmlA__NG_052155.1__3	81	PHENICOL	cmlA
266__cmlA10__NG_047649.1__1	81	PHENICOL	cmlA
582__cmlA6__NG_047655.1__1	81	PHENICOL	cmlA
584__cmlA4__NG_047650.1__1	81	PHENICOL	cmlA
584__cmlA4__NG_047652.1__2	81	PHENICOL	cmlA
584__cmlA4__NG_047651.1__3	81	PHENICOL	cmlA
585__cmlA5__NG_047653.1__1	81	PHENICOL	cmlA
585__cmlA5__NG_051436.1__2	81	PHENICOL	cmlA
586__cmlA1__NG_047647.1__1	81	PHENICOL	cmlA
586__cmlA1__NG_047646.1__2	81	PHENICOL	cmlA
586__cmlA1__NG_047648.1__3	81	PHENICOL	cmlA
588__cmlA8__NG_047656.1__1	81	PHENICOL	cmlA
255__ereB__NG_047768.1__1	82	MACROLIDE	ereB
255__ereB__NG_047769.1__2	82	MACROLIDE	ereB
596__tetV__NG_048280.1__1	83	TETRACYCLINE	tetV
644__tet33__NG_048127.1__1	84	TETRACYCLINE	tet33
644__tet33__NG_048128.1__2	84	TETRACYCLINE	tet33
362__mgt__NG_047982.1__2	85	MACROLIDE	mgt
362__mgt__NG_047984.1__3	85	MACROLIDE	mgt
274__ereA__NG_047764.1__1	86	MACROLIDE	ereA
274__ereA__NG_052426.1__2	86	MACROLIDE	ereA
274__ereA__NG_047765.1__3	86	MACROLIDE	ereA
274__ereA__NG_047766.1__4	86	MACROLIDE	ereA
274__ereA__NG_047763.1__5	86	MACROLIDE	ereA
274__ereA__NG_050404.1__6	86	MACROLIDE	ereA
274__ereA__NG_047767.1__7	86	MACROLIDE	ereA
274__ereA__NG_052184.1__8	86	MACROLIDE	ereA
622__ereC__NG_047770.1__1	86	MACROLIDE	ereA
476__tetZ__NG_048311.1__1	87	TETRACYCLINE	tetZ
321__pexA__NG_048035.1__1	88	PHENICOL	pexA
120__cmlV__NG_047660.1__1	89	PHENICOL	cmlV
559__rgt__NG_048056.1__1	90	RIFAMYCIN	rgt
117__cmlB__NG_047657.1__1	91	PHENICOL	cmlB
621__mefB__NG_047978.1__1	92	MACROLIDE	mefB
379__mefA__NG_047970.1__1	93	MACROLIDE	mefA
379__mefA__NG_047976.1__2	93	MACROLIDE	mefA
379__mefA__NG_047977.1__3	93	MACROLIDE	mefA
379__mefA__NG_047966.1__5	93	MACROLIDE	mefA
379__mefA__NG_047968.1__7	93	MACROLIDE	mefA
379__mefA__NG_047971.1__9	93	MACROLIDE	mefA
379__mefA__NG_047967.1__10	93	MACROLIDE	mefA
379__mefA__NG_047972.1__12	93	MACROLIDE	mefA
379__mefA__NG_047957.1__13	93	MACROLIDE	mefA
379__mefA__NG_047963.1__14	93	MACROLIDE	mefA
379__mefA__NG_047973.1__16	93	MACROLIDE	mefA
379__mefA__NG_047975.1__18	93	MACROLIDE	mefA
379__mefA__NG_047961.1__20	93	MACROLIDE	mefA
90__mefC__NG_047979.1__1	94	MACROLIDE	mefC
239__tet40__NG_048139.1__1	95	TETRACYCLINE	tet40
239__tet40__NG_048141.1__2	95	TETRACYCLINE	tet40
239__tet40__NG_048138.1__3	95	TETRACYCLINE	tet40
239__tet40__NG_048140.1__4	95	TETRACYCLINE	tet40
379__mefA__NG_047965.1__8	96	MACROLIDE	mefA
379__mefA__NG_047964.1__15	96	MACROLIDE	mefA
379__mefA__NG_047960.1__19	96	MACROLIDE	mefA
437__tetE__NG_048188.1__1	97	TETRACYCLINE	tetE
437__tetE__NG_048187.1__2	97	TETRACYCLINE	tetE
437__tetE__NG_048186.1__3	97	TETRACYCLINE	tetE
306__floR__NG_047874.1__1	98	PHENICOL	floR
306__floR__NG_047871.1__2	98	PHENICOL	floR
306__floR__NG_047873.1__3	98	PHENICOL	floR
306__floR__NG_047877.1__4	98	PHENICOL	floR
306__floR__NG_047862.1__5	98	PHENICOL	floR
306__floR__NG_047863.1__6	98	PHENICOL	floR
306__floR__NG_047866.1__7	98	PHENICOL	floR
306__floR__NG_047867.1__8	98	PHENICOL	floR
306__floR__NG_047868.1__9	98	PHENICOL	floR
306__floR__NG_047878.1__10	98	PHENICOL	floR
306__floR__NG_047865.1__11	98	PHENICOL	floR
306__floR__NG_047870.1__12	98	PHENICOL	floR
306__floR__NG_047876.1__13	98	PHENICOL	floR
306__floR__NG_047872.1__15	98	PHENICOL	floR
306__floR__NG_047860.1__16	98	PHENICOL	floR
306__floR__NG_047861.1__17	98	PHENICOL	floR
306__floR__NG_047869.1__18	98	PHENICOL	floR
306__floR__NG_047864.1__19	98	PHENICOL	floR
306__floR__NG_047875.1__14	99	PHENICOL	floR
215__tet31__NG_048123.1__1	100	TETRACYCLINE	tet31
583__tetB__NG_048170.1__1	101	TETRACYCLINE	tetB
583__tetB__NG_048162.1__2	101	TETRACYCLINE	tetB
583__tetB__NG_048171.1__3	101	TETRACYCLINE	tetB
583__tetB__NG_048172.1__4	101	TETRACYCLINE	tetB
583__tetB__NG_048167.1__5	101	TETRACYCLINE	tetB
583__tetB__NG_048166.1__6	101	TETRACYCLINE	tetB
583__tetB__NG_048169.1__7	101	TETRACYCLINE	tetB
583__tetB__NG_048164.1__8	101	TETRACYCLINE	tetB
583__tetB__NG_048173.1__9	101	TETRACYCLINE	tetB
583__tetB__NG_048165.1__10	101	TETRACYCLINE	tetB
583__tetB__NG_048168.1__11	101	TETRACYCLINE	tetB
583__tetB__NG_048163.1__12	101	TETRACYCLINE	tetB
583__tetB__NG_048161.1__13	101	TETRACYCLINE	tetB
583__tetB__NG_048160.1__14	101	TETRACYCLINE	tetB
379__mefA__NG_047969.1__4	102	MACROLIDE	mefA
379__mefA__NG_047959.1__6	102	MACROLIDE	mefA
379__mefA__NG_047958.1__11	102	MACROLIDE	mefA
379__mefA__NG_047974.1__17	102	MACROLIDE	mefA
379__mefA__NG_047962.1__21	102	MACROLIDE	mefA
553__mefEn2__NG_047980.1__1	103	MACROLIDE	mefEn2
562__tetH__NG_048196.1__1	104	TETRACYCLINE	tetH
562__tetH__NG_048195.1__2	104	TETRACYCLINE	tetH
562__tetH__NG_048193.1__3	104	TETRACYCLINE	tetH
562__tetH__NG_048194.1__4	104	TETRACYCLINE	tetH
562__tetH__NG_048197.1__5	104	TETRACYCLINE	tetH
599__tetAD__NG_048313.1__1	105	TETRACYCLINE	tetAD
543__tetA__NG_048150.1__1	106	TETRACYCLINE	tetA
543__tetA__NG_048151.1__2	106	TETRACYCLINE	tetA
543__tetA__NG_048152.1__3	106	TETRACYCLINE	tetA
543__tetA__NG_048157.1__4	106	TETRACYCLINE	tetA
543__tetA__NG_048159.1__5	106	TETRACYCLINE	tetA
543__tetA__NG_048148.1__6	106	TETRACYCLINE	tetA
543__tetA__NG_048154.1__7	106	TETRACYCLINE	tetA
543__tetA__NG_048158.1__8	106	TETRACYCLINE	tetA
543__tetA__NG_048153.1__9	106	TETRACYCLINE	tetA
543__tetA__NG_048156.1__10	106	TETRACYCLINE	tetA
543__tetA__NG_048155.1__11	106	TETRACYCLINE	tetA
103__tetJ__NG_048198.1__1	107	TETRACYCLINE	tetJ
103__tetJ__NG_048199.1__2	107	TETRACYCLINE	tetJ
234__blaPDC__NG_049866.1__1	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049867.1__2	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049868.1__3	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049869.1__4	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049870.1__5	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049871.1__6	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049872.1__7	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049873.1__8	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049874.1__9	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049875.1__10	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049876.1__11	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049877.1__12	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049878.1__13	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049879.1__14	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049880.1__15	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049881.1__16	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049882.1__17	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049883.1__18	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049884.1__19	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049885.1__20	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049886.1__21	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049887.1__22	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049888.1__23	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049889.1__24	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049890.1__25	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049891.1__26	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049892.1__27	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049893.1__28	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049894.1__29	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049895.1__30	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049896.1__31	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049897.1__32	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049898.1__33	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049899.1__34	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049900.1__35	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049902.1__36	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049903.1__37	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049904.1__38	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049906.1__39	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049907.1__40	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049908.1__41	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049909.1__42	108	BETA-LACTAM	blaPDC
234__blaPDC__NG_049910.1__43	108	BETA-LACTAM	blaPDC
